"","dataset","E","El","nflip","EOD","sqrt.E","mean.strain","mean.logstrain","OD.phi","OD.lambda","status","mess","time"
"142","developmental_retina/data/nAChR-B2/P0/GMB390-1/R-CONTRA",0.00605579773455131,0.00605579331045457,0,10.9791344744357,0.0778189778296693,0.0881195366840861,0.0896120918791365,-1.37917428119678,-2.04234010652189,"0","Success","296.603"
"143","developmental_retina/data/nAChR-B2/P0/GMB390-2/R-CONTRA",0.00459098028892242,0.00459097683669671,0,6.39702406762339,0.0677567475362913,0.0799398356790325,0.0808370636245753,-1.45914719448555,0.73838355170111,"0","Success","127.633"
"144","developmental_retina/data/nAChR-B2/P0/GMB399-1/R-CONTRA",0.0118113551589116,0.0118113506565474,0,NA,0.108680037985582,0.113944704977402,0.11363239790024,NA,NA,"0","Success","118.661"
"145","developmental_retina/data/nAChR-B2/P0/GMB489-3/R-CONTRA",0.0126540145837879,0.0126540123757198,0,8.67109020759871,0.112490054563592,0.109045592476908,0.105594472028832,-1.41945725293486,0.885637171344602,"0","Success","228.709"
"146","developmental_retina/data/nAChR-B2/P0/GMB489-4/R-CONTRA",0.00685036698493512,0.00685036557669539,0,9.59401764818958,0.0827669352863533,0.0937654891272311,0.0945041147703418,-1.40334913033955,0.0277022836650407,"0","Success","117.872"
"147","developmental_retina/data/nAChR-B2/P12/GMB195-1/R-CONTRA",0.00644159858371147,0.00644159459969004,0,8.79054143685012,0.0802595452247895,0.0915359952139233,0.0938779056553031,-1.41737243568887,1.2462814852828,"0","Success","169.21"
"148","developmental_retina/data/nAChR-B2/P12/GMB195-2/R-CONTRA",0.00611585497159286,0.00611585442523501,0,7.93569341920173,0.0782039284514212,0.0869203725701462,0.0885656271055703,-1.43229234820098,0.798406630511457,"0","Success","120.867"
"149","developmental_retina/data/nAChR-B2/P12/GMB195-3/R-CONTRA",0.00471334559930432,0.00471334524162097,0,5.09067975260706,0.0686538071895577,0.0768636832305657,0.0780787814530059,-1.48194720394729,-0.226743797895905,"0","Success","139.855"
"150","developmental_retina/data/nAChR-B2/P12/GMB195-4/R-CONTRA",0.00601761669654805,0.00601761551741879,0,7.42156391297971,0.0775732912632872,0.0862924972888633,0.0869760671476732,-1.44126560086621,0.125535867407521,"0","Success","134.663"
"151","developmental_retina/data/nAChR-B2/P12/GMB297-2/R-CONTRA",0.0102237817067967,0.0102226906888267,0,10.9891530140767,0.101107322627131,0.133176998200713,0.136820015169399,-1.3789994246938,2.52373967906796,"0","Success","152.846"
"152","developmental_retina/data/nAChR-B2/P12/GMB297-3/R-CONTRA",0.00947463682216411,0.00947456235978634,0,16.6350006922767,0.0973373636369217,0.0997367871431788,0.103657540022606,-1.28046079364313,-2.23359653218173,"0","Success","154.436"
"153","developmental_retina/data/nAChR-B2/P12/GMB309-1/R-CONTRA",0.00466940681690651,0.00466939390621176,0,6.42910544298151,0.0683329635403863,0.0774915980128293,0.0787597961943503,-1.45858726885698,0.771083914074232,"0","Success","131.388"
"154","developmental_retina/data/nAChR-B2/P12/GMB309-2/R-CONTRA",0.00519462608672193,0.00519462495220729,0,8.61264390584306,0.0720737466225205,0.0780557456567356,0.0796283036206352,-1.42047733333611,2.17520648332214,"0","Success","160.052"
"155","developmental_retina/data/nAChR-B2/P12/GMB309-4/R-CONTRA",0.00496166267100938,0.00496166142918217,0,6.86879989186571,0.0704390618136143,0.08075171053158,0.0828957932345072,-1.45091315302121,-2.24171262214283,"0","Success","2327.306"
"156","developmental_retina/data/nAChR-B2/P12/GMB375-1/R-CONTRA",0.00355923003573618,0.00355923002911536,0,7.52770570875539,0.0596592828411083,0.0624533684906605,0.0632816689231501,-1.43941307705594,2.78278075898291,"0","Success","77.14"
"157","developmental_retina/data/nAChR-B2/P12/GMB375-2/R-CONTRA",0.00370696270361499,0.00370696251511377,0,12.3830943983361,0.0608848299259657,0.0660519204016206,0.066816058023816,-1.35467055795866,2.04214630672481,"0","Success","119.945"
"158","developmental_retina/data/nAChR-B2/P2/GMB377-1/R-CONTRA",0.00179855929715079,0.00179855843159149,0,5.56126725648008,0.0424094144216999,0.0478690503720703,0.0486372164424861,-1.47373390258597,0.768159757932624,"0","Success","64.562"
"159","developmental_retina/data/nAChR-B2/P2/GMB377-2/R-CONTRA",0.0159871598403759,0.0159830440792282,0,23.866044589236,0.126424064478359,0.118967776230192,0.123751280517655,-1.15425526928495,1.58799118038349,"0","Success","536.24"
"160","developmental_retina/data/nAChR-B2/P2/GMB377-3/R-CONTRA",0.0119054778676362,0.0119048898537596,0,23.9196549234794,0.109109531452388,0.108386835567772,0.108493333742157,-1.15331959243931,1.25376420312662,"0","Success","159.111"
"161","developmental_retina/data/nAChR-B2/P2/GMB389-4/R-CONTRA",0.00466587030823451,0.00466585807108631,0,9.22428552947753,0.0683070865363639,0.0839836174701185,0.0867501099235431,-1.40980217316145,-0.0933688936302146,"0","Success","533.186"
"162","developmental_retina/data/nAChR-B2/P2/GMB389-5/R-CONTRA",0.00843055460991736,0.00842981040306797,0,4.88207902221509,0.0918139989493322,0.112394400419929,0.116893587068816,-1.4855879735147,-0.0517931854591604,"0","Success","198.756"
"163","developmental_retina/data/nAChR-B2/P2/GMB389-6/R-CONTRA",0.00337343056224155,0.00337343048993623,0,7.266096457421,0.0580812404304198,0.0665121807532554,0.0667737031913353,-1.4439790198454,-3.04825808816817,"0","Success","87.11"
"164","developmental_retina/data/nAChR-B2/P2/GMB390-5/R-CONTRA",0.00330055812765588,0.00330055574966348,0,30.4752948624158,0.0574504634416771,0.066333389108504,0.0673549589645404,-1.03890209092963,-2.61029044723302,"0","Success","115.123"
"165","developmental_retina/data/nAChR-B2/P28/GMB195-5/R-CONTRA",0.00279663503485508,0.00279663409715221,0,8.54150818853842,0.0528832118649407,0.0606110801200731,0.0614753693970161,-1.42171888581884,0.784125170830103,"0","Success","114.18"
"166","developmental_retina/data/nAChR-B2/P28/GMB195-6/R-CONTRA",0.00298633041321699,0.00298632899413399,0,9.08465500804174,0.0546473146104545,0.061921012749571,0.0634479668458812,-1.41223918549678,2.60161322971084,"0","Success","120.299"
"167","developmental_retina/data/nAChR-B2/P28/GMB195-7/R-CONTRA",0.00437985366677924,0.00437985277601607,0,8.31499672123975,0.0661804561484436,0.0744728487530932,0.075494828678029,-1.42567225671673,0.739807821257946,"0","Success","124.38"
"168","developmental_retina/data/nAChR-B2/P28/GMB328-1/R-CONTRA",0.0021335879744677,0.00213358779217073,0,7.78341544830931,0.0461907760507521,0.0479690660378222,0.048786313427676,-1.43495010017131,0.594408013125755,"0","Success","56.734"
"169","developmental_retina/data/nAChR-B2/P28/GMB499-1/R-CONTRA",0.00157050994562382,0.00157050988345544,0,10.2067083660666,0.0396296591387743,0.0441741504992293,0.0448118401179448,-1.39265566001618,2.69163313625927,"0","Success","96.138"
